Region,Site Name,SiteID,Assemblage,LabID,C14Age,C14SD,Delta 13,Material,MaterialID,Source,NZTM N,NZTM E,Longititude,Latitude
Southern,Riverton,D46/35,"Area A, Square C4, Layer 4",NZ0922,228,48,-25,Charcoal,Unspecified,NZRD,4853238,1211590,167.9504652,-46.36280908
Southern,Riverton,D46/35,"Area A, Square C10, Layer 4",NZ0923,460,58,-25,Charcoal,Unspecified,NZRD,4853238,1211590,167.9504652,-46.36280908
Southern,Riverton,D46/35,"Area A, Square B2, Layer 3B",NZ0924,558,43,-25,Charcoal,Unspecified,NZRD,4853238,1211590,167.9504652,-46.36280908
Southern,Riverton,D46/35,"Area A, Square D2, Layer 4",NZ1032,702,60,-25,Charcoal,Unspecified,NZRD,4853238,1211590,167.9504652,-46.36280908
Southern,Riverton,D46/35,"Area A, Square D3, Layer 3",NZ1033,685,48,-25,Charcoal,Unspecified,NZRD,4853238,1211590,167.9504652,-46.36280908
Southern,Wakapatu,D46/38,Layer 2,NZ0933,486,58,-25,Charcoal,Unspecified,NZRD,4852018,1203380,167.843134,-46.36898837
Southern,Wakapatu,D46/38,Layer 2,NZ0934,701,48,-25,Charcoal,Unspecified,NZRD,4852018,1203380,167.843134,-46.36898837
Southern,Wakapatu,D46/38,Pit 1,NZ0935,661,48,-25,Charcoal,Unspecified,NZRD,4852018,1203380,167.843134,-46.36898837
Southern,Tihaka,D46/39,,NZ0936,637,59,-25,Charcoal,Unspecified,NZRD,4853836,1210086,167.931487,-46.35658441
Southern,"Sealers Bay, Codfish Island",D48/21,SB4 - TPD - Layer 2,Wk21442,464,36,-24.8,Charcoal,Hebe salicifolia 7 - Pseudopanax colensoi 7 - Leptospermum scoparium 6 - Fuchsia excorticata 3 - Griselina littoralis 3 - Myrsine australis 2,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/21,SB 4 - TPE - Layer 2,Wk21443,542,35,-24.8,Charcoal,Leptospermum scoparium 4 - Hebe salicifolia 2 - Pseudopanax colensoi 7 - Melicytus ramiflorus 1 - Myrsine australis 1,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_1,SB1 Area 1 - C8-Layer 2-spit 3,Wk21436,740,35,-26,Charcoal,Hebe salicifola 6 - Pseudopanax colensoi 5 - Leptospermum scoparium 4 - Pseudopanax edgerleyi 3 - Myrsine australis 2 - Coprosma sp. 1 - Griselinia littoralis 1 - Pseudopanax crassifolius 1,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_1,SB1  Area 1 - C7 - Layer 2- spit 4,Wk21437,631,35,-24.6,Charcoal,Myrsine australis 5 - Griselinia littoralis 3 - Leptospermum scoparium 3 - Hebe salicifolia 1 - Coprosma sp. 1 - Aristotelia serrata 1 - Fuchsia excorticata 1,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_1,SB1 Area 2 - H2 - Layer 2-spit 4,Wk21438,197,35,-28.2,Charcoal,Pteridium esculentum 2 - Fuchsia excorticata 1 - Pseudopanax edgerleyi 1 - Ascarina lucida 1 ,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_2,SB1 Area 2 - H2 - Layer 3 - spit 6 ,Wk21439,529,35,-24.9,Charcoal,Aristotelia serrata 9 - Hebe salicifolia 8 - Leptospermum scoparium 7 - Pseudopanax edgerleyi 2 -  Ascarina lucida 1 - Dracophyllum longifolium 1,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_2,SB1  Area 4 - C - Layer 3 - spit 6,Wk21440,517,34,-25.9,Charcoal,Hebe salicifolia 3 - Leptospermum scoparium 3 - Coprosma sp. 2 - Aristotella serrata 1 - Fuchsia excorticata 1 - Myrsine australis 1,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,"Sealers Bay, Codfish Island",D48/5_2,SB1 Area 4 - C - Layer 3 - spit 7,Wk21441,548,35,-25,Charcoal,Hebe salicifolia 5 - Leptospermum scoparium 3 - Coprosma sp. 2 - Pseudopanax crassifolius 2 - Fuchsia excorticata 1 ,Smith and Anderson 2008,4807072,1190900,167.6419514,-46.76430015
Southern,Cascase state forest,E38/3,"Square 13B, Layer 1",NZ7348,541,72,-26.89,Charcoal,"Weinmannia recemose, Daacrydium cupresinum, Nothofagus sp., Olearia sp.",NZRD,5109327,1225724,168.3261035,-44.07355395
Southern,Barn Bay,E38/7,"Square A, Layer 3, Spit 2",NZ7340,669,72,-26.87,Charcoal,"Hoheria sp., Schleffera digitata, Hebe sp., Metrosideros sp., Nothofagus sp., Weinmannia racemosa, Aristotelia serrata, Myrsine australis, Lagarostrabos colensoi, Podocarpus totara/hallii",NZRD,5109427,1225524,168.323685,-44.07255452
Southern,Barn Bay,E38/7,"Square A, Layer 3, Spit 1",NZ7345,753,67,-25.7,Charcoal,"Podocarpus totara/hallii, Lagarostrabos colensoi, Weinmannia recemose, Nothofagus sp., Melicytus ramiflorus",NZRD,5109427,1225524,168.323685,-44.07255452
Southern,"Dart Bridge, Glenorcy",E40/2,"Complex BPit IV, Layer 3. Sample from a layer of ovenstones and charcoal.",NZ5324,587,56,-23.98,Charcoal,Coprosma sp,NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,"Dart Bridge, Glenorcy",E40/2,Pit A. Layer 5 7cm layer of charcoal beneath 20cm of ovenstones,NZ5325,723,57,26.9,Charcoal,Coprosma sp - dominant. Sophora sp [probably S microphylla] -subdominant. Nothofagus sp. - trace,NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,"Dart Bridge, Glenorcy",E40/2,"Mound BTop of natural charcoal, bottom of occupation layer",NZ0804,1331,209,-25,Charcoal,Unspecified,NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,"Dart Bridge, Glenorcy",E40/2,Mound BTop of occupation layer covering raised mound,NZ0805,443,88,-25,Charcoal,Unspecified,NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,"Dart Bridge, Glenorcy",E40/2,"Complex COven pit, square 5 layer 2",NZ5323,337,55,-26.2,Charcoal,"Sophora sp [probably S. microphylla] dominant, Nothofagus sp - co-dominant",NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,"Dart Bridge, Glenorcy",E40/2,"Complex DPit I, Layer 1. Sample from the rim of pit",NZ5326,442,41,-22.16,Charcoal,Nothofagus sp.-dominant. Hebe sp. Minor,NZRD,5030926,1229859,168.3216715,-44.77915612
Southern,Pig Island,E41/196,Oven. Charcoal layer under burnt stones. Sample from the outer edge of the oven,NZ6687,672,33,-23.3,Charcoal,Phyllocladus alpinus - dominant; Coprosma sp. - subdominant,NZRD,5014009,1237081,168.4005626,-44.93465452
Southern,"Wyuna Koch, Glenorchy",E41/6,"Square A2, layer 3Oven feature",NZ0800,589,64,-25,Charcoal,Unspecified,NZRD,5025223,1236071,168.3958542,-44.83351606
Southern,"Wyuna Koch, Glenorchy",E41/6,"Square A2, layer 4Oven feature - southeast corner",NZ0801,522,48,-25,Charcoal,Unspecified,NZRD,5025223,1236071,168.3958542,-44.83351606
Southern,"Wyuna Koch, Glenorchy",E41/6,"Square A2,  Layer 2Charred post",NZ1027,835,72,-25,Wood,Unspecified,NZRD,5025223,1236071,168.3958542,-44.83351606
Southern,"Lagoon site, Glenorcy",E41/7,"Quadrant A, layer 4Central oven, southeast corner. Sample associated with occupation refuse",NZ0802,48,58,-25,Charcoal,Unspecified,NZRD,5024322,1235872,168.3926991,-44.84149936
Southern,"Lagoon site, Glenorcy",E41/7,"Quadrant A, layer 4Posthole b. Sample covereing posthole b. in soil and occupation refuse",NZ0803,410,88,-25,Charcoal,Unspecified,NZRD,5024322,1235872,168.3926991,-44.84149936
Southern,"Lagoon site, Glenorcy",E41/7,"Quadrant A, layer 4Posthole b. Sample in posthole, associated with occupation refuse",NZ0806,525,60,-25,Wood,Unspecified,NZRD,5024322,1235872,168.3926991,-44.84149936
Southern,"Lagoon site, Glenorcy",E41/7,Layer 3Posthole A - sample of charred wood in posthole fill,NZ1028,302,58,-25,Charcoal,Unspecified,NZRD,5024322,1235872,168.3926991,-44.84149936
Southern,Tiwai Point,E47/13,"TW/X/W23/2/Oven Area XAn extensive flaking floor associated with midden containing shellfish, bird, fish and mammalian bone",NZ4469,656,29,-25.4,Charcoal,"Leptospermum scoparium 76%, Podocarpus totara/hallii [probably P totara] 20 % Pittosporum sp 4 %",NZRD,4829776,1245538,168.3724341,-46.59188984
Southern,Tiwai Point,E47/13,TW/B 46 Oven,NZ2480,445,58,-25,Charcoal,Unspecified,NZRD,4829886,1245691,168.3745091,-46.59098382
Southern,Tiwai Point,E47/13,TW/B/19 - 20/2 Area B,NZ4466,778,85,-25.6,Charcoal,"Podocarpus totara-hallii 76%, Leptospermum scoparium 22%, Coprosma sp. 2 %",NZRD,4829886,1245691,168.3745091,-46.59098382
Southern,Tiwai Point,E47/13,TW/B/40/1d,NZ4467,766,57,-25.6,Charcoal,"Podocarups totara-hallii 61%, Leptospermum scoparium 25%, Coprosmas sp. 8%, Pittosporum sp 4% Pseudowintera sp 2%",NZRD,4829886,1245691,168.3745091,-46.59098382
Southern,Tiwai Point,E47/13,TW/B/60/1c,NZ4468,696,33,-25.1,Charcoal,"Podocarpus totara-hallii 69%, Leptospermum scoparium 20%, Coprosma sp. 7%, Pittosporum sp 3%",NZRD,4829886,1245691,168.3745091,-46.59098382
Southern,Tiwai Point,E47/13,TW/X?U23/2 Area X,NZ4470,636,33,-25.3,Charcoal,"Podocarpus totara-hallii 60%, Leptospermum scoparium 34%, Coprosma sp. 4%, Unidentified 2%",NZRD,4829886,1245691,168.3745091,-46.59098382
Southern,"Old Neck, Stewart Island",E48/39,Layer 3,NZ0422,687,40,-25,Charcoal,Unspecified,NZRD,4789201,1232682,168.1727138,-46.94883824
Southern,Owens Ferry,F41/1,Layer 8/9Dense charcoal with a few stones and fragments in which large pieces of charcoal predominate,NZ6038,607,28,-26.88,Charcoal,Unspecified,NZRD,5007734,1273529,168.8571497,-45.00865138
Southern,Owens Ferry,F41/1,"Layer 10Sample from charcoal beneath oven stones, associated with moabone",NZ6039,699,46,-24.33,Charcoal,"Nothofagus sp. - dominant. Phyllocladus alpinus, Coprosma sp, - minor. Hebe sp - trace",NZRD,5007734,1273529,168.8571497,-45.00865138
Southern,Owens Ferry,F41/1,"Layer 8/9Sample from charcoal beneath oven stones, associated with moabone",NZ6040,763,34,-24.19,Charcoal,Phyllocladus alpinus - dominant; Discaria toumatoui - trace,NZRD,5007734,1273529,168.8571497,-45.00865138
Southern,Parkburn,G41/2,"Block 22, Square 17, Area A, Oven A, Layer 3Sample is from a layer of charcoal at the bottom of an oven, beneath yellow clay with oven stones",NZ5336,365,55,-22.07,Charcoal,Discaria toumatou - dominant. Podocarpus totara/hallii - minor. Leptospermum ericoides - trace,NZRD,5014969,1305551,169.2668172,-44.95767083
Southern,Parkburn,G41/2,"Area C, Oven D, Layer 2Sample is from a layer of charcoal on a basal gravel layer, beneath gravel and ovenstones",NZ5337,340,39,-24.63,Charcoal,Discaria toumatou,NZRD,5014969,1305551,169.2668172,-44.95767083
Southern,Parkburn,G41/2,"Area C, Oven C, Layer 2Sample from charcoal layer resting on sand and pebbles beneather ovenstones",NZ5338,426,32,-22.1,Charcoal,Discaria toumatou,NZRD,5014969,1305551,169.2668172,-44.95767083
Southern,Parkburn,G41/2,"Oven BSample from charcoal resting on gravel bed, beneath layer of yeloow clay with ovenstones",NZ5339,496,45,-24.6,Charcoal,"Discaria toumatou, Podocarpus totara/hallii - codominant",NZRD,5014969,1305551,169.2668172,-44.95767083
Southern,Tinwaldburn,G41/288,"Suspected prehistoric oven, now exposed as a mound on a wind deflated area. Sample from charcoal lens beneath lichen covered oven stones, above river gravel, greywacke and quartz cobbles",NZ5416,303,45,-24.61,Charcoal,Discaria toumatou,NZRD,5018874,1307650,169.2956331,-44.92345777
Southern,Tinwaldburn,G41/288,"Suspected prehistoric oven, now exposed as a mound on a wind deflated area. Sample from charcoal lens beneath lichen covered oven stones, above river gravel, greywacke and quartz cobbles",NZ5417,373,33,-24.49,Charcoal,Unspecified,NZRD,5018874,1307650,169.2956331,-44.92345777
Southern,Rockfall II,G41/453,Oven excavated into layer 3,NZ5340,632,45,-23.24,Charcoal,Discaria toumatou - dominant. Sophora sp [probably S.microphylla] - minor. Coprosma sp. Leptospermum ericoides - trace,NZRD,5001156,1303963,169.2386003,-45.08108689
Southern,Rockfall II,G41/453,Oven excavated into layer 4,NZ5341,376,38,-23.51,Charcoal,Discaria toumatou - dominant. Hebe sp. - minor. Sophora sp [probably S microphylla] Coprosma sp - minor,NZRD,5001156,1303963,169.2386003,-45.08108689
Southern,Rockfall I,G41/574,"Square J10, layers 1 and 3Sample from a charcoal concentration in oven fill",NZ4973,949,57,-23.1,Charcoal,"Leptospermum sp. Dominant. Hebe sp., Discaria toumatou, Pittosporum sp. Minor",NZRD,5001156,1303863,169.2373325,-45.08104506
Southern,Rockfall I,G41/574,"Square J10, layers 1 and 2Sample from a charcoal concentration in oven fill",NZ4972,674,59,-23.8,Charcoal,"Pittosporum sp. Dominant, Discaria toumatou, Hebe sp, Leptospermum sp - minor",NZRD,5001156,1303863,169.2373325,-45.08104506
Southern,Rockfall I,G41/574,Square J10 layers 1 and 2Sample from charcoal concentration in oven fill,NZ5067,992,58,-23.1,Charcoal,Unspecified,NZRD,5001156,1303863,169.2373325,-45.08104506
Southern,Hawksburn,G42/13_1,HB/H/14 spit ii. Sample from the base of a large shallow oven at the base of the cultural layer,NZ5044,692,33,-24.5,Charcoal,"Coprosma sp. Dominant, Olearia sp. Minor)",NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,HB/H/8 spit iii. Deep oven covered by throw-out from adjacent feature. Oven was sealed by the later construction of another oven,NZ5045,709,33,-25.3,Charcoal,Coprosma sp.-dominant. Olearia sp subdominant. Hebe sp minor,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,HB/I/23 spit ii. Feature c - edge of oven. Sample from bottom of spit ii associated with moa metatarsal and phallanges,NZ5046,714,33,-23.1,Charcoal,"Coprosma sp. Dominant, Olearia sp. Minor)",NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,HB/M/6 spit ii. Shallow oven partially overlapping oven in layer 3,NZ5047,611,33,-25,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,"HB/FB/8 spit ii. Oven throw out, material from refurbishment of ovens. Sample from the middle of refuse",NZ5048,691,33,-24.7,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_2,"HB/L/5 Layer 3. Lower cultural layer, beneath layer of clean silt which seals off the oven from which this sample was obtained",NZ5049,652,33,-25.1,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,HB/M/14 spit iv. Very deep oven partially sealed by silt layer,NZ5050,720,33,-24.5,Charcoal,"Coprosma sp. dominant, Olearia sp. Minor, Phylloclodies alpimus - rare",NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_1,HB/FA/15 spit iii. Sample from small deep oven on the edge of a refuse area,NZ5051,668,33,-25.4,Charcoal,Hebe sp. Olearia sp. Coprosma sp.,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13_2,HB/L/10 Layer 3. Lower cultural layer. Sample dates second oven partially filled with moabone and sealed by clean silt below main cultural layer,NZ5052,663,28,-25.1,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13,"Occupation stratum. From lowest occupation layer, associated with artefacts",NZ0061,470,50,-25,Wood,Unspecified,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13,"Sample from top six inches of occupation layer containing ash, silt and stone artefacts",NZ0062,593,65,-25,Charcoal,Unspecified,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Hawksburn,G42/13,HB/E/2 layer 1A probably house structure not stratigraphicalled connected to the main site,NZ5053a,592,33,-28.3,Charcoal,Unspecified ,NZRD,4986641,1300075,169.1806004,-45.20982009
Southern,Italian Creek,G42/183,"Square A2, Layer 1AHearth, sample from bottom of the layer from a concentration of charcoal in dark silt",NZ4715,309,82,-25.9,Charcoal,"Hebe sp. 50%, Discaria toumatou 50%",NZRD,4997260,1310071,169.3137907,-45.11861307
Southern,Italian Creek,G42/183,"Square A2, Layer 1AHearth, layer contains dark silt with fresh water mussel and numerous fragments of burnt moa eggshell. Sample from a discrete charcoal concentration",NZ4716,579,96,-26.5,Charcoal,"Discaria toumatou 66%, Hebe sp. 34 %",NZRD,4997260,1310071,169.3137907,-45.11861307
Southern,Minzionburn,G43/105,"North testpit, Layer IicScoop hearth with black soil and charcoal. This sample comes from the oven which cuts into the oven from which this sample comes",NZ6653,727,52,-23.36,Charcoal,Phyllocladus alpinus  ,NZRD,4941944,1328251,169.5140603,-45.62283888
Southern,Minzionburn,G43/105,"Testpit 2, Layer IISample comes from an oven feature, partially destroyed by the construction of a subsequent oven. Sample in black soil containing ovenstons and charcoal",NZ6654,672,52,-24.01,Charcoal,Phyllocladus alpinus - dominant; Leptospermum scoparium - minor,NZRD,4941944,1328251,169.5140603,-45.62283888
Southern,Minzionburn,G43/105,"South testpit, Layer IibSample from a shallow oven feature in the western hald of the site in charcoal and black soil between 15-18cm below the surface",NZ6657,671,54,-24.29,Charcoal,Phyllocladus alpinus - dominant; Leptospermum scoparium - minor,NZRD,4941944,1328251,169.5140603,-45.62283888
Southern,Minzionburn,G43/105,"Square F9, layer IibWoolshed oven, solid charcoal 75-78cm below the surface",NZ6659,792,52,-22.25,Charcoal,Phyllocladus alpinus,NZRD,4941944,1328251,169.5140603,-45.62283888
Southern,Italian Creek,G43/183,"Square A2, Layer 1AHearth, sample from bottom of the layer from a concentration of charcoal in dark silt",NZ4714,399,88,-25.5,Charcoal,"Hebe sp. 84%, Discaria toumatou 16%",NZRD,4997260,1310071,169.3137907,-45.11861307
Southern,Coal Creek,G43/51,Oven pit. Sample from dark soil with numerous pieces of charcoal through it,NZ6855,655,40,-26.28,Charcoal,"Hoheria/Plagianthus gp - dominant; Coprosma sp (2), Olearia sp - subdominant; unidentified - minor",NZRD,4956631,1311520,169.3085347,-45.48417052
Southern,Papatowai,G47/50,lowestPapatowai Bottom: A&S,Wk1761,650,45,-25.9,Charcoal, Leptospermum scoparium - 13pc; Pseudopanax arboreus - 3pc; Pseudowinteria colorata - 3pc; Hoheria sp. - 3pc; Nothofagus sp. - 2pc; Coprosma sp. - 1pc; Pittosporum sp. - 1pc; Archeria traversi - 1pc; bark,NZRD,4837793,1330143,169.4791755,-46.55921405
Southern,Papatowai,G47/50,lowestPapatowai Bottom: A&S,Wk1762,640,45,-25.4,Charcoal,Leptospermum scoparium - 14pc; Pseudopanax edgerleyi - 6pc; Myrsine australis - 3pc; Hoheria sp. - 1pc; Dracophyllum sp. - 1pc,NZRD,4837793,1330143,169.4791755,-46.55921405
Southern,Papatowai,G47/50,"lowestPapatowai Bottom: Hamel Area A - midden. Sample from below oven 2 in layer 4, which consisted of blackened greasy sand, much bone and shell with some charcoal. ",NZ1332,916,88,-26.17,Charcoal,Unspecified,Hamel 1978,4837793,1330143,169.4791755,-46.55921405
Southern,Papatowai,G47/50,"lowestPapatowai Bottom: Hamel Area A - midden. Sample from the lowest layer of excavation. Layer was 5-15cm thick and almost flat, it consisted of sand mixed with abundant fine charcoal and other midden material. ",NZ4268,760,57,-24.4,Charcoal,"Podocarpus totara/hallii - 85%, Myrsine australis - 10%, Leptospermum scoparium - 5%) ",Hamel 1978,4837793,1330143,169.4791755,-46.55921405
